Card,Type,Count,Pack,Writing,
a+b,Function,4,Core0,,
a-b,Function,4,Core0,,
a*b,Function,4,Core0,,
a/b,Function,4,Core0,,
|a|,Function,2,Core1,,
1/a,Function,2,Core1,,
-a,Function,2,Core1,,
+a,Function,2,Core1,,
sqrt[a],Function,1,Core3,,
d!,Function,1,Core3,,
a^2,Function,1,Core3,,
a[cos(d)],Function,1,Core3,,
log_10[a],Function,1,Core3,,
e^a,Function,1,Core3,,
ln(a),Function,1,Core3,,
a[sin(d)],Function,1,Core3,,
a[tan(d)],Function,1,Core3,,
log_d[a],Function,1,Core3,,
a^(1/d),Function,1,Core3,,
a^d,Function,1,Core3,,
Summation,Function,1,Core3,,
Product,Function,1,Core3,,
ad^2+bd+c,Function,1,Core3,Second Order Polynomial,
ad+b,Function,1,Core3,First Order Polynomial,
Identity Element,Theorem,1,Core,Add 0 (zero) or multiply by 1.,
Closure Element,Theorem,1,Core,Make one number immune from cards for one turn.,
Distributive Element,Theorem,1,Core,Select a number on the table and dislocate it into every player's set.,
Commutative Element,Theorem,1,Core,Swap any two numbers on the table,
Inverse Element,Theorem,1,Core,Re-roll the dice.,
Identity Property,Theorem,1,Core,Cancel all cards used on a number.,
Closure Property,Theorem,1,Core,Repeat previous operation.,
Distributive Property,Theorem,1,Core,Apply all cards from a number to other number. [Imagine as duplicating all the operations applied on one card and applying them to a new chosen card.],
Commutative Property,Theorem,1,Core,Swap any two cards on the table.,
Inverse Property,Theorem,1,Core,Cancel the last card used.,
Pascal's Triangle,Theorem,1,Core,"Choose two adjacent numbers and replace them with their sum [recursive, you can perform as many times as you want.]",
sqrt[a^2+b^2],Theorem,1,Core,Pythagorean Theorem,
Fundamental Theorem of Arithmetic,Theorem,1,Core,Replace the number with its prime decomposition set.,
e \approx 2.72,Constant,1,Core,,
-1,Constant,1,Core,,
73,Constant,1,Core,"The best number. Is this 73? Nah, check if 73 is in your set, if yes: use this as 73; if no: use this as 12.",
Googol,Constant,1,Core,Search for a number on the table which is integer power of 10 and take one into your own set.,
42,Constant,1,Core,What else do you think the meaning of the universe is?,
\phi \approx 1.62,Constant,1,Core,,
0,Constant,1,Core,Zero,
\pi \approx 3.14,Constant,1,Core,,
7,Constant,1,Core,"Roll the dice 2 times, if the sum is 7, add another 7 to the set.",
28,Constant,1,Core,2nd perfect number. You're even more perfect!,
6,Constant,1,Core,1st perfect number. You're perfect!,
F,Constant,1,Core,"Fibonacci Number: Every turn it is on the table without being used, it increases into the next Fibonacci number in the sequence. Starts from 1, stops once it's used or attacked.",
69,Constant,1,Core,Uhm... it is divisible by 3?,
\tau \approx 6.28,Constant,1,Core,,
10^d,Constant,1,Core,,
"""Graham's number""",Constant,1,Core,"It's too big, just replace it with 9.",
